VHF_Data_Link_Failure G5_Failure Communication_Failure GNSS_Failure PNT_Failure Navigation_Failure UAT_Failure ACAS_X_Failure COOP_Surveillance_Failure Weather_Conditions K_Band_RADAR_Failure LIDAR_Failure RF_Detection_Failure NONCOOP_Surveillance_Failure Surveillance_Failure Airspace_Congestion Ground_Population_Density Flight_Control_System_Failure Risk_of_Crash
No No No No No No No No No Good No No No No No Low Low No No
No No No No No No No No No Bad No No No No No High Low No No
No No No No No No No No No Bad No No No No No High Low No No
No No No No No No No No No Good No No No No No Low High No No
No No No No No No No No No Bad No No No No No Low Low No No
No No No No No No No No No Bad No No No No No Low Low No No
No No No No No No No No No Bad No No No No No Low High No No
No No No No No No No No No Bad No No No No No Low Low No No
No No No No No No No No No Good No No No No No Low High No No
No No No No No No No No No Bad No No No No No High Low No No
No No No No No No No No No Bad No No No No No Low High No No
No No No No No No No No No Good No No No No No Low Low No No
No No No No No No No No No Good No No No No No High High No No
No No No No No No No No No Good No No No No No High High No No
No No No No No No No No No Bad No No No No No Low Low No No
No No No No No No No No No Good No No No No No High Low No No
No No No No No No No No No Good No No No No No High High No No
No No No No No No No No No Bad No No No No No Low Low No No
No No No No No No No No No Good No No No No No Low Low No No
No No No No No No No No No Good No No No No No High Low No No
No No No No No No No No No Bad No No No No No Low Low No No
No No No No No No No No No Good No No No No No Low Low No No
No No No No No No No No No Bad No No No No No High Low No No
No No No No No No No No No Bad No No No No No Low Low No No
No No No No No No No No No Bad No No No No No High High No No
No No No No No No No No No Bad No No No No No Low High No No
No No No No No No No No No Bad No No No No No High High No No
No No No No No No No No No Good No No No No No High Low No No
No No No No No No No No No Good No No No No No High Low No No
No No No No No No No No No Bad No No No No No Low High No No
No No No No No No No No No Bad No No No No No Low Low No No
No No No No No No No No No Bad No No No No No Low Low No No
No No No No No No No No No Good No No No No No Low High No No
No No No No No No No No No Bad No No No No No High High No No
No No No No No No No No No Bad No No No No No High High No No
No No No No No No No No No Bad No No No No No High High No No
No No No No No No No No No Bad No No No No No High Low No No
No No No No No No No No No Bad No No No No No Low Low No No
No No No No No No No No No Good No No No No No Low Low No No
No No No No No No No No No Bad No No No No No Low High No No
No No No No No No No No No Bad No No No No No Low High No No
No No No No No No No No No Bad No No No No No Low High No No
No No No No No No No No No Good No No No No No Low High No No
No No No No No No No No No Good No No No No No High Low No No
No No No No No No No No No Bad No No No No No Low Low No No
No No No No No No No No No Good Yes No No No No High Low No No
No No No No No No No No No Good Yes No No No No Low High No No
No No No No No No No No No Good No No No No No Low High No No
No No No No No No No No No Good No No No No No Low High No No
No No No No No No No No No Bad No No No No No Low Low No No
No No No No No No No No No Bad No No No No No Low Low No No
No No No No No No No No No Good No No No No No High Low No No
No No No No No No No No No Bad No No No No No High Low No No
No No No No No No No No No Good No No No No No Low Low No No
No No No No No No No No No Bad No No No No No Low High No No
No No No No No No No No No Bad No No No No No Low Low No No
No No No No No No No No No Good No No No No No High High No No
No No No No No No No No No Bad No No No No No High High No No
No No No No No No No No No Bad No No No No No Low High No No
No No No No No No No No No Good No No No No No Low High No No
No No No No No No No No No Bad No No No No No High High No No
No No No No No No No No No Good No No No No No Low Low No No
No No No No No No No No No Good No No No No No High Low No No
No No No No No No No No No Bad No No No No No Low High No No
No No No No No No No No No Good No No No No No High Low No No
No No No No No No No No No Bad No No No No No Low High No No
No No No No No No No No No Bad No No No No No High Low No No
No No No No No No No No No Good No Yes No No No High High No No
No No No No No No No No No Bad No No No No No Low Low No No
No No No No No No No No No Good No No No No No Low Low No No
No No No No No No No No No Good No No No No No Low High No No
No No No No No No No No No Good No No No No No Low High No No
No No No No No No No No No Bad No No No No No High Low No No
No No No No No No No No No Bad No No No No No Low Low No No
No No No No No No No No No Bad No No No No No High Low No No
No No No No No No No No No Good No No No No No Low High No No
No No No No No No No No No Bad No No No No No High Low No No
No No No No No No No No No Good No No No No No Low High No No
No No No No No No No No No Good No No No No No Low Low No No
No No No No No No No No No Good No No No No No Low Low No No
No No No No No No No No No Bad No No No No No High Low No No
No No No No No No No No No Bad No No No No No Low Low No No
No No No No No No No No No Good No Yes No No No High Low No No
No No No No No No No No No Good No No No No No High Low No No
No No No No No No No No No Good No No No No No High High No No
No No No No No No No No No Bad No No No No No High High No No
No No No No No No No No No Good No No No No No High High No No
No No No No No No No No No Bad No No No No No High High No No
No No No No No No No No No Good No No No No No Low Low No No
No No No No No No No No No Bad No No No No No Low High No No
No No No No No No No No No Good No No No No No Low Low No No
No No No No No No No No No Good No No No No No High High No No
No No No No No No No No No Bad No No No No No High High No No
No No No No No No No No No Bad No No No No No Low High No No
No No No No No No No No No Bad No No No No No High High No No
No No No No No No No No No Bad No No No No No Low Low No No
No No No No No No No No No Bad No No No No No High Low No No
No No No No No No No No No Good No No No No No High High No No
No No No No No No No No No Bad No No No No No High High No No
No No No No No No No No No Bad No No No No No Low Low No No
